date,lending_rates
31/07/2019,3.84
31/08/2019,3.82
30/09/2019,3.79
31/10/2019,3.69
30/11/2019,3.67
31/12/2019,3.64
31/01/2020,3.63
29/02/2020,3.60
31/03/2020,3.37
30/04/2020,3.32
31/05/2020,3.28
30/06/2020,3.25
31/07/2020,3.22
31/08/2020,3.19
30/09/2020,3.16
31/10/2020,3.13
30/11/2020,3.09
31/12/2020,3.05
31/01/2021,3.02
28/02/2021,2.99
31/03/2021,2.94
30/04/2021,2.91
31/05/2021,2.87
30/06/2021,2.84
31/07/2021,2.81
31/08/2021,2.78
30/09/2021,2.75
31/10/2021,2.72
30/11/2021,2.70
31/12/2021,2.68
31/01/2022,2.66
28/02/2022,2.65
31/03/2022,2.64
30/04/2022,2.63
31/05/2022,2.78
30/06/2022,3.08
31/07/2022,3.41
31/08/2022,3.73
30/09/2022,4.04
31/10/2022,4.22
30/11/2022,4.39
31/12/2022,4.56
31/01/2023,4.56
28/02/2023,4.72
31/03/2023,4.90
30/04/2023,4.93
31/05/2023,5.14
30/06/2023,5.37
31/07/2023,5.42
31/08/2023,5.47
30/09/2023,5.51
31/10/2023,5.56
30/11/2023,5.80
