date,mortgage_change
Sep-99,0.3
Dec-99,1.1
Mar-00,9
Jun-00,10.3
Sep-00,26.3
Dec-00,29.1
Mar-01,23.2
Jun-01,7.9
Sep-01,-8.7
Dec-01,-15.4
Mar-02,-14.8
Jun-02,-7.1
Sep-02,3.7
Dec-02,10.7
Mar-03,11.2
Jun-03,17.7
Sep-03,10.6
Dec-03,11.4
Mar-04,18.4
Jun-04,20.3
Sep-04,19.9
Dec-04,18.9
Mar-05,11.6
Jun-05,12.8
Sep-05,12.5
Dec-05,9.8
Mar-06,11.2
Jun-06,8.5
Sep-06,11.4
Dec-06,17
Mar-07,17.3
Jun-07,17.3
Sep-07,17
Dec-07,14.3
Mar-08,18.4
Jun-08,25.4
Sep-08,22.6
Dec-08,15.3
Mar-09,-4.2
Jun-09,-31.9
Sep-09,-33.5
Dec-09,-28
Mar-10,-11.5
Jun-10,25.6
Sep-10,32.2
Dec-10,30.1
Mar-11,23.7
Jun-11,14.3
Sep-11,9.3
Dec-11,6.7
Mar-12,-2
Jun-12,-3.7
Sep-12,-10.3
Dec-12,-12.3
Mar-13,-12.2
Jun-13,-12.6
Sep-13,-10.3
Dec-13,-11.3
Mar-14,-6.5
Jun-14,-4.9
Sep-14,-0.9
Dec-14,3.3
Mar-15,2.1
Jun-15,-1.7
Sep-15,-4.2
Dec-15,-4
Mar-16,-1.2
Jun-16,1.5
Sep-16,-0.4
Dec-16,-4.2
Mar-17,-5.4
Jun-17,-4.8
Sep-17,1.2
Dec-17,4.5
Mar-18,3.3
Jun-18,3.4
Sep-18,1.7
Dec-18,2.4
Mar-19,2.4
Jun-19,2
Sep-19,-6
Dec-19,-11.7
Mar-20,-14.2
Jun-20,-18.5
Sep-20,-17.6
Dec-20,-15.1
Mar-21,-15.1
Jun-21,-12.7
Sep-21,-8.1
Dec-21,-7.6
Mar-22,-5.4
Jun-22,-0.7
Sep-22,25.3
Dec-22,61.3
Mar-23,78.9
Jun-23,91.6
Sep-23,68.6
